@timestamp,_id,_index,email,email.keyword,event.original,ip_src,log_type,message,pw_policy,stream
"Oct 23, 2022 @ 16:06:29.254",XDMZB4QBz0FhWM8BBhJF,mailbox-ui-2022.10.23,xianfu@pmcmail.org,xianfu@pmcmail.org,Oct 23 23:06:29 0e58ee347491 sogod [62]: SOGoRootPage successful login from '192.168.0.2' for user 'xianfu@pmcmail.org' - expire = -1  grace = -1,192.168.0.2,MAILBOX_LOG,Oct 23 23:06:29 0e58ee347491 sogod [62]: SOGoRootPage successful login from '192.168.0.2' for user 'xianfu@pmcmail.org' - expire = -1  grace = -1,-,stdout
"Oct 23, 2022 @ 16:04:36.232",FTMXB4QBz0FhWM8BUBA_,mailbox-ui-2022.10.23,danieltay@pmcmail.org,danieltay@pmcmail.org,Oct 23 23:04:36 0e58ee347491 sogod [62]: SOGoRootPage Login from '192.168.0.3' for user 'danieltay@pmcmail.org' might not have worked - password policy: 65535  grace: -1  expire: -1  bound: 0,192.168.0.3,MAILBOX_LOG,Oct 23 23:04:36 0e58ee347491 sogod [62]: SOGoRootPage Login from '192.168.0.3' for user 'danieltay@pmcmail.org' might not have worked - password policy: 65535  grace: -1  expire: -1  bound: 0,65535,stdout
"Oct 23, 2022 @ 16:04:22.769",AzMXB4QBz0FhWM8BFRCo,mailbox-ui-2022.10.23,danieltay@pmcmail.org,danieltay@pmcmail.org,Oct 23 23:04:22 0e58ee347491 sogod [62]: SOGoRootPage Login from '192.168.0.3' for user 'danieltay@pmcmail.org' might not have worked - password policy: 65535  grace: -1  expire: -1  bound: 0,192.168.0.3,MAILBOX_LOG,Oct 23 23:04:22 0e58ee347491 sogod [62]: SOGoRootPage Login from '192.168.0.3' for user 'danieltay@pmcmail.org' might not have worked - password policy: 65535  grace: -1  expire: -1  bound: 0,65535,stdout
"Oct 23, 2022 @ 14:16:41.781",mxq0BoQB_8j47fKfgBmE,mailbox-ui-2022.10.23,xianfu@pmcmail.org,xianfu@pmcmail.org,Oct 23 21:16:41 0e58ee347491 sogod [68]: SOGoRootPage Login from '192.168.0.2' for user 'xianfu@pmcmail.org' might not have worked - password policy: 65535  grace: -1  expire: -1  bound: 0,192.168.0.2,MAILBOX_LOG,Oct 23 21:16:41 0e58ee347491 sogod [68]: SOGoRootPage Login from '192.168.0.2' for user 'xianfu@pmcmail.org' might not have worked - password policy: 65535  grace: -1  expire: -1  bound: 0,65535,stdout
"Oct 23, 2022 @ 13:42:00.215",CNGUBoQBimM9HJ8cw8XX,mailbox-ui-2022.10.23,danieltay@pmcmail.org,danieltay@pmcmail.org,Oct 23 20:42:00 0e58ee347491 sogod [66]: SOGoRootPage successful login from '192.168.0.3' for user 'danieltay@pmcmail.org' - expire = -1  grace = -1,192.168.0.3,MAILBOX_LOG,Oct 23 20:42:00 0e58ee347491 sogod [66]: SOGoRootPage successful login from '192.168.0.3' for user 'danieltay@pmcmail.org' - expire = -1  grace = -1,-,stdout
"Oct 23, 2022 @ 13:41:17.770",f9GUBoQBimM9HJ8cI8SV,mailbox-ui-2022.10.23,danieltay@pmcmail.org,danieltay@pmcmail.org,Oct 23 20:41:17 0e58ee347491 sogod [65]: SOGoRootPage successful login from '192.168.0.3' for user 'danieltay@pmcmail.org' - expire = -1  grace = -1,192.168.0.3,MAILBOX_LOG,Oct 23 20:41:17 0e58ee347491 sogod [65]: SOGoRootPage successful login from '192.168.0.3' for user 'danieltay@pmcmail.org' - expire = -1  grace = -1,-,stdout
"Oct 23, 2022 @ 13:41:04.396",U9GTBoQBimM9HJ8c6MT1,mailbox-ui-2022.10.23,danieltay@pmcmail.org,danieltay@pmcmail.org,Oct 23 20:41:04 0e58ee347491 sogod [65]: SOGoRootPage Login from '192.168.0.3' for user 'danieltay@pmcmail.org' might not have worked - password policy: 65535  grace: -1  expire: -1  bound: 0,192.168.0.3,MAILBOX_LOG,Oct 23 20:41:04 0e58ee347491 sogod [65]: SOGoRootPage Login from '192.168.0.3' for user 'danieltay@pmcmail.org' might not have worked - password policy: 65535  grace: -1  expire: -1  bound: 0,65535,stdout
"Oct 23, 2022 @ 13:40:50.849",HtGTBoQBimM9HJ8crsRR,mailbox-ui-2022.10.23,danieltay@pmcmail.org,danieltay@pmcmail.org,Oct 23 20:40:50 0e58ee347491 sogod [65]: SOGoRootPage Login from '192.168.0.3' for user 'danieltay@pmcmail.org' might not have worked - password policy: 65535  grace: -1  expire: -1  bound: 0,192.168.0.3,MAILBOX_LOG,Oct 23 20:40:50 0e58ee347491 sogod [65]: SOGoRootPage Login from '192.168.0.3' for user 'danieltay@pmcmail.org' might not have worked - password policy: 65535  grace: -1  expire: -1  bound: 0,65535,stdout
"Oct 23, 2022 @ 13:36:51.487",JdGQBoQBimM9HJ8cFMMI,mailbox-ui-2022.10.23,danieltay@pmcmail.org,danieltay@pmcmail.org,Oct 23 20:36:51 0e58ee347491 sogod [65]: SOGoRootPage Login from '192.168.0.3' for user 'danieltay@pmcmail.org' might not have worked - password policy: 1  grace: -1  expire: -1  bound: 0,192.168.0.3,MAILBOX_LOG,Oct 23 20:36:51 0e58ee347491 sogod [65]: SOGoRootPage Login from '192.168.0.3' for user 'danieltay@pmcmail.org' might not have worked - password policy: 1  grace: -1  expire: -1  bound: 0,1,stdout
"Oct 23, 2022 @ 13:36:38.095",FNGPBoQBimM9HJ8c2cNo,mailbox-ui-2022.10.23,danieltay@pmcmail.org,danieltay@pmcmail.org,Oct 23 20:36:38 0e58ee347491 sogod [65]: SOGoRootPage Login from '192.168.0.3' for user 'danieltay@pmcmail.org' might not have worked - password policy: 1  grace: -1  expire: -1  bound: 0,192.168.0.3,MAILBOX_LOG,Oct 23 20:36:38 0e58ee347491 sogod [65]: SOGoRootPage Login from '192.168.0.3' for user 'danieltay@pmcmail.org' might not have worked - password policy: 1  grace: -1  expire: -1  bound: 0,1,stdout
